country,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,year,month
Armenia,59.03407095,11.58159466,28470,562,28.88923127,-0.565155387,0.142175749,99.71,7.08,1976.864492,5479,9132.807486,101.5079031,2.981308689,13.78124866,8.607024985,0.241510004,51.20181838,21.59917455,23.98755805,-0.255827993,0.21393609,0.574535906,96,21.8675,63.41375,54.62280586,2.672723,3.943378265,11609513247,-0.2971358,0.200113058,-0.417796254,0.146012336,0.158519909,0.197122589,2.247240067,1.50548005,31.9,31.5,15.842,9.704,74.058,2889930,1066037,-0.562072694,0.134004712,2.491410258,2014,1
Armenia,58.89708465,11.56691254,28470,562,31.04414898,-0.659123719,0.148132145,99.8,13.15,1331.112025,5066.7,9415.287058,100.6615736,-1.403607559,17.04235951,7.525504448,0.233050004,51.20181838,21.27737528,25.71151816,-0.311781496,0.20947808,0.574535906,96,21.8675,79.07166667,64.34602977,2.205513,4.090349217,10546136236,-0.667951107,0.210856497,-0.160720766,0.173993856,0.205158383,0.20486711,2.75812006,1.63734329,27.8,32.5,14.504,9.634,74.664,2865835,1058009,-0.579242349,0.128810465,3.035764446,2016,1
Armenia,58.914647,11.55216017,28470,562,35.2700901,-0.40889135,0.139696091,99.9,11.13,1331.112025,5712.2,9443.729713,99.63319283,2.52023382,9.733977399,6.574650261,0.188759997,51.20181838,20.8701039,22.07681376,-0.170385882,0.220806867,0.581725955,96,21.8675,82.39041667,68.24505226,2.61,4.119886153,12457940695,-0.451120526,0.217243075,-0.19733353,0.15227136,0.350590289,0.214424282,2.255867958,1.23468125,23.6,34.4,13.307,9.75,75.064,2836557,1045300,-0.130894393,0.133988872,1.762700344,2018,1
Australia,51.85367663,16.9514989,7682300,534,10.49765244,2.00087285,0.173395962,100,6.95,10972.88015,384368.3,617773.4563,2.711118025,2.327611289,3.057411476,4.607157545,0.730717461,20.09571882,24.03934536,24.44705025,1.818955183,0.223921821,0.574535906,96,21.8675,63.41375,69.45,3.79,1.812273234,8.55007E+11,0.92887491,0.256448686,1.743887424,0.173375621,1.684215903,0.232354,4.653649807,5.87543869,24.8,35.7,14.1,6.7,81.29268293,20827622,3161216,1.369199991,0.159870148,1.224147211,2007,1
Australia,48.99209872,16.86293167,7682300,534,9.591373564,2.02361083,0.14741917,100,8.16,10726.92818,395993.2,589473.4613,2.867858584,2.918340027,6.057533614,2.837916667,2.37074995,28.66210103,20.4770692,26.7037775,1.763391376,0.227385253,0.754843771,96,21.8675,63.41375,76,3.84,1.852928258,1.14889E+12,0.888859868,0.239330947,1.757718325,0.157016754,1.695976734,0.235530734,5.538119793,6.09483814,24.8,34.7,13.7,6.5,81.69512195,22031750,3264665,1.419765472,0.146318108,1.049085936,2010,1
Australia,50.38543145,17.04768884,7682300,534,8.642549249,1.977507234,0.14058204,100,8.3,10407.74031,395690,690401.593,2.95920037,1.762780156,5.078166699,3.481458333,0.730717461,39.4386655,21.0974833,26.11703219,1.613148451,0.219052508,0.574535906,96,21.8675,63.41375,79,3.73,1.670963965,1.54765E+12,0.997997224,0.219665527,1.759779572,0.152665079,1.778897166,0.225645676,4.866670132,6.17947626,24.8,35.7,13.7,6.6,82.04634146,22733465,3318631,1.499190331,0.133328661,1.069106094,2012,1
Australia,48.73839866,17.23244601,7682300,534,8.869783157,1.849464655,0.132059485,100,9.33,10071.39898,379267.2,621420.4289,3.055814795,2.487922705,4.482137659,4.607157545,0.730717461,41.71288902,21.89292334,26.25169173,1.601369858,0.228570014,0.574535906,96,21.8675,63.41375,84,3.810776,1.773058878,1.4686E+12,1.032191992,0.192247406,1.918719649,0.164148554,1.857373476,0.228099748,5.164549828,6.90871811,24.8,34.4,13.2,6.6,82.3,23475686,3380029,1.361743808,0.142199576,1.035382845,2014,1
Australia,44.53992579,17.42548771,7692020,534,9.991489972,1.772003651,0.140850216,100,9.36,1331.112025,394803.6,600642.7642,3.144935531,1.276990945,6.116716941,4.607157545,0.730717461,54.64430213,22.26179913,26.96746589,1.533338904,0.219070241,0.574535906,96,21.8675,87.41666667,86.54,3.793385,2.088530879,1.20758E+12,1.033424497,0.203295976,1.716897726,0.172545359,1.885731459,0.227201536,5.28689003,7.17459917,24.8,33.7,12.9,6.6,82.44878049,24190907,3435109,1.353697181,0.140228122,0.938183173,2016,1
Australia,46.65809501,17.42131456,7692020,534,10.0394886,1.767377615,0.138461649,100,9.6,1331.112025,396059.9,642275.8577,3.245344916,1.911400944,3.319652913,4.607157545,0.730717461,54.42969692,23.17720306,26.19407241,1.556063771,0.221195087,0.78083396,96,21.8675,88.36416667,90,3.75,1.895670079,1.42973E+12,0.970811963,0.202375144,1.67455554,0.155484006,1.896577239,0.22204648,5.124310017,7.20352697,24.8,34.3,12.6,6.3,82.74878049,24963258,3491861,1.393920898,0.139636368,0.884735038,2018,1
Austria,34.29592826,46.72421231,82520,1110,24.53888781,2.003345251,0.185476571,100,28.99,8207.474739,71248,85204.26989,100.5269874,2.168555288,5.468423368,4.607157545,2.41843009,66.75668187,25.39199432,43.97791491,1.863565922,0.223921821,0.574535906,96,21.8675,63.41375,69.37,4.06,0.900457173,3.89186E+11,1.284419298,0.256448686,1.941825628,0.173375621,1.691163898,0.232354,5.146900177,6.9392724,24.8,30.6,9.2,9,80.1804878,8295487,3463449,1.369262457,0.159870148,0.542513661,2007,1
